Дата,Область,Місто,Значення 1,Значення 2,Значення 3,Значення 4,Значення 5,Значення 6,Значення 7,Значення 8,Значення 9,Значення 10,long,lat
31.03.2024,Одеська,Одеса,2,0,0,2,0,0,0,1,0,0,"30,7306393","46,4702111"
01.04.2024,Харківська,Люботин,1,0,1,0,0,0,0,0,2,1,"35,9407539","49,9511113"
01.04.2024,Харківська,Чугуїв,1,0,0,1,0,0,0,0,1,0,"36,6813122","49,8363158"
01.04.2024,Дніпропетровська,Кривий Ріг,1,1,0,0,0,0,1,1,1,0,"33,391783","47,910483"
02.04.2024,Дніпропетровська,Дніпро,1,1,0,0,0,0,18,0,3,0,"35,046183","48,464717"
02.04.2024,Кіровоградська,Кропивницький,1,0,0,1,0,0,0,1,0,0,"32,2641984","48,5070977"
03.04.2024,Сумська,Краснопілля,1,0,1,0,0,0,0,0,1,0,"35,267666","50,7671084"
04.04.2024,Харківська,Харків,9,0,0,9,0,4,12,0,1,0,"36,3073994","50,0020127"
05.04.2024,Харківська,Харків,2,0,2,0,0,0,0,0,1,1,"36,3073994","50,0020127"
05.04.2024,Запорізька,Запоріжжя,5,0,5,0,0,4,23,0,5,0,"35,1387097","47,8392842"
06.04.2024,Харківська,Харків,4,0,0,4,0,7,11,0,1,0,"36,3073994","50,0020127"
06.04.2024,Донецька,Слов'янськ,2,2,0,0,0,0,0,0,2,0,"37,6053","48,8532"
07.04.2024,Харківська,Харків,2,0,1,1,0,0,3,0,1,0,"36,3073994","50,0020127"
07.04.2024,Одеська,Одеса,2,1,1,0,0,0,1,0,1,0,"30,7306393","46,4702111"
08.04.2024,Одеська,Одеса,2,0,0,2,0,0,0,0,1,0,"30,7306393","46,4702111"
09.04.2024,Львівська,Стрий,6,2,0,4,0,0,0,0,1,0,"23,8431343","49,2656076"
09.04.2024,Сумська,Охтирка,2,0,2,0,0,0,0,0,1,0,"34,9005644","50,3150962"
10.04.2024,Одеська,Чорноморськ,1,1,0,0,0,0,2,0,1,0,"30,6480855","46,2952236"
10.04.2024,Миколаївська,Миколаїв,1,0,0,1,0,0,0,0,1,0,"32,003246","46,9660801"
10.04.2024,Одеська,Одеса,6,0,4,2,0,4,4,0,1,0,"30,7306393","46,4702111"
11.04.2024,Миколаївська,Миколаїв,1,1,0,0,0,5,5,0,8,0,"32,003246","46,9660801"
11.04.2024,Львівська,Шептицький,4,2,0,2,0,0,0,1,0,0,"24,2199454","50,3871767"
11.04.2024,Львівська,Стрий,6,2,0,4,0,0,0,0,1,0,"23,8431343","49,2656076"
11.04.2024,Київська,Обухів,1,1,0,0,0,0,0,1,0,0,"30,6298846","50,109938"
11.04.2024,Харківська,Харків,12,0,12,0,0,0,0,1,0,0,"36,3073994","50,0020127"
11.04.2024,Запорізька,Запоріжжя,1,1,0,0,0,0,0,1,0,0,"35,1387097","47,8392842"
12.04.2024,Дніпропетровська,Кривий Ріг,1,0,0,1,0,0,0,1,0,0,"33,391783","47,910483"
13.04.2024,Донецька,Велика Новосілка,1,0,1,0,0,0,0,0,1,0,"36,8448462","47,8359616"
15.04.2024,Харківська,Чугуїв,4,0,4,0,0,0,0,0,1,1,"36,6813122","49,8363158"
15.04.2024,Донецька,Слов'янськ,1,1,0,0,0,0,0,0,2,0,"37,6053","48,8532"
16.04.2024,Харківська,Богодухів,2,0,0,0,2,0,0,0,1,0,"35,5402444","50,1636245"
16.04.2024,Харківська,Куп'янськ,2,0,0,0,2,0,0,0,2,0,"37,6027997","49,7055574"
16.04.2024,Харківська,Ізюм,2,0,0,0,2,0,0,0,1,0,"37,2665006","49,2121445"
17.04.2024,Одеська,Білгород-Дністровський,1,1,0,0,0,0,0,0,1,0,"30,3414908","46,1854516"
17.04.2024,Харківська,Куп'янськ,1,0,0,0,1,0,0,0,1,0,"37,6027997","49,7055574"
17.04.2024,Чернігівська,Чернігів,3,0,3,0,0,18,77,0,3,0,"31,28935","51,4982"
17.04.2024,Дніпропетровська,Дніпро,1,0,1,0,0,0,0,0,1,0,"35,046183","48,464717"
18.04.2024,Харківська,Вовчанськ,2,0,0,0,2,0,0,0,1,0,"36,9329429","50,284234"
18.04.2024,Дніпропетровська,Дніпро,6,6,0,0,0,0,2,1,1,0,"35,046183","48,464717"
19.04.2024,Одеська,Одеса,3,3,0,0,0,0,1,0,1,0,"30,7306393","46,4702111"
19.04.2024,Дніпропетровська,Дніпро,2,2,0,0,0,2,16,0,8,0,"35,046183","48,464717"
19.04.2024,Дніпропетровська,Кривий Ріг,1,0,1,0,0,0,3,0,1,0,"33,391783","47,910483"
19.04.2024,Дніпропетровська,Синельникове,4,4,0,0,0,6,10,0,12,0,"35,521396","48,3229038"
19.04.2024,Сумська,Суми,1,0,1,0,0,0,0,0,1,0,"34,7981","50,9077"
19.04.2024,Дніпропетровська,Павлоград,8,4,0,4,0,0,0,0,1,0,"35,9032574","48,5294478"
20.04.2024,Одеська,Одеса,3,3,0,0,0,0,8,0,9,0,"30,7306393","46,4702111"
20.04.2024,Харківська,Вовчанськ,1,0,0,0,1,1,1,0,1,0,"36,9329429","50,284234"
20.04.2024,Сумська,Шостка,1,0,1,0,0,0,0,0,1,0,"33,4966152","51,8757044"
20.04.2024,Харківська,Харків,1,0,1,0,0,0,1,0,1,0,"36,3073994","50,0020127"
20.04.2024,Запорізька,Запоріжжя,2,2,0,0,0,0,0,0,2,0,"35,1387097","47,8392842"
20.04.2024,Дніпропетровська,Дніпро,2,0,2,0,0,0,0,0,1,3,"35,046183","48,464717"
21.04.2024,Одеська,Одеса,1,1,0,0,0,0,4,0,1,0,"30,7306393","46,4702111"
22.04.2024,Харківська,Харків,2,0,2,0,0,0,0,0,2,0,"36,3073994","50,0020127"
22.04.2024,Харківська,Золочів,1,0,1,0,0,0,0,0,1,0,"35,9760431","50,2690697"
22.04.2024,Харківська,Вовчанськ,1,0,0,0,1,0,0,0,1,0,"36,9329429","50,284234"
22.04.2024,Харківська,Куп'янськ,2,0,0,0,2,0,1,0,1,0,"37,6027997","49,7055574"
22.04.2024,Харківська,Дергачі,1,0,0,0,1,0,0,0,1,0,"36,1155026","50,1097212"
22.04.2024,Одеська,Одеса,2,0,0,2,0,0,0,0,7,0,"30,7306393","46,4702111"
23.04.2024,Одеська,Одеса,2,1,0,1,0,0,13,1,7,0,"30,7306393","46,4702111"
24.09.2024,Донецька,Костянтинівка,2,0,0,0,2,1,2,0,3,0,"37,7075811","48,5239429"
23.04.2024,Харківська,Харків,4,0,0,0,4,0,0,0,1,0,"36,3073994","50,0020127"
23.04.2024,Харківська,Чугуїв,1,0,1,0,0,0,0,1,1,0,"36,6813122","49,8363158"
23.04.2024,Харківська,Козача Лопань,1,0,0,0,1,0,0,0,0,1,"36,1851358","50,3364733"
23.04.2024,Дніпропетровська,Дніпро,1,1,0,0,0,0,8,0,2,0,"35,046183","48,464717"
24.04.2024,Харківська,Золочів,2,0,2,0,0,0,0,0,0,1,"35,9760431","50,2690697"
24.04.2024,Харківська,Харків,2,0,2,0,0,0,6,0,1,0,"36,3073994","50,0020127"
24.04.2024,Харківська,Чугуїв,2,0,0,0,2,0,0,0,1,1,"36,6813122","49,8363158"
24.04.2024,Харківська,Куп'янськ,2,0,0,0,2,0,0,0,1,0,"37,6027997","49,7055574"
24.04.2024,Одеська,Одеса,2,0,0,2,0,0,1,0,1,0,"30,7306393","46,4702111"
25.04.2024,Харківська,Харків,3,0,0,0,3,0,0,0,1,0,"36,3073994","50,0020127"
25.04.2024,Черкаська,Сміла,1,1,0,0,0,0,6,1,0,0,"31,852233","49,227717"
25.04.2024,Харківська,Балаклія,1,0,1,0,0,0,13,0,1,0,"36,8584805","49,4643925"
26.04.2024,Харківська,Дергачі,2,0,0,0,2,0,4,0,1,0,"36,1155026","50,1097212"
26.04.2024,Сумська,Суми,2,0,0,0,2,0,0,0,1,0,"34,7981","50,9077"
26.04.2024,Харківська,Вовчанськ,2,0,0,0,2,1,0,0,1,0,"36,9329429","50,284234"
26.04.2024,Харківська,Чугуїв,2,0,0,0,2,0,1,0,1,0,"36,6813122","49,8363158"
27.04.2024,Львівська,Стрий,4,3,1,0,0,0,0,0,1,0,"23,8431343","49,2656076"
27.04.2024,Львівська,Шептицький,4,4,0,0,0,0,0,1,0,0,"24,2199454","50,3871767"
27.04.2024,Харківська,Чугуїв,1,0,0,0,1,0,0,0,0,1,"36,6813122","49,8363158"
27.04.2024,Харківська,Харків,2,0,2,0,0,0,1,0,0,1,"36,3073994","50,0020127"
28.04.2024,Харківська,Ізюм,1,0,0,0,1,0,0,0,1,0,"37,2665006","49,2121445"
28.04.2024,Харківська,Вовчанськ,1,0,0,0,1,0,0,0,1,0,"36,9329429","50,284234"
28.04.2024,Запорізька,Запоріжжя,1,1,0,0,0,0,0,0,1,0,"35,1387097","47,8392842"
28.04.2024,Одеська,Одеса,1,0,0,1,0,0,0,0,9,0,"30,7306393","46,4702111"
29.04.2024,Харківська,Харків,7,0,0,0,7,0,1,0,1,0,"36,3073994","50,0020127"
29.04.2024,Одеська,Одеса,1,0,1,0,0,6,32,0,11,0,"30,7306393","46,4702111"
